"prefix","code","course name","description","credit hours","prereqs","coreqs"
"ACCT","200","Foundations of Accounting","Survey of accounting with emphasis on the use of financial statement information in business decision making.","3","",""
"ACCT","203","Introduction to Financial Accounting","Introduction to financial accounting theory and practice with emphasis on the preparation of financial statements, the role of accounting information in business decisions, and the accounting profession.","3","",""
"ACCT","204","Cost Management","Cost information for products, services, and how cost information is recorded, analyzed, reported, and used in decision making. Topics include cost concepts and behavior, cost systems, budgeting, activity-based costing and management, and strategic cost management.","3","ACCT 203",""
"ACCT","207","Honors: Foundations of Accounting","Introduction to financial accounting theory and practice with emphasis on the role of financial information in business decisions. The course will make extensive use of computer technology for retrieving and analyzing financial information.","3","",""
"ACCT","208","Honors: Introduction to Financial Accounting","Introduction to financial accounting theory and practice with emphasis on the preparation of financial statements, the role of accounting information in business decisions, and the accounting profession.","3","",""
"ACCT","311","Intermediate Financial Accounting I","Theory and practice that underlies the preparation, analysis, and use of financial statements with special emphasis on accounting for assets.","3","ACCT 203",""
"ACCT","411","Introduction to Auditing","Auditing s role in society from an internal and external perspective, audit methodology, role of internal control in auditing, and application of auditing procedures to specific transaction cycles.","3","ACCT 311 or INMT 341",""
"ACCT","412","Principles of Internal Auditing and Forensic Accounting","This course introduces students to careers in internal auditing and forensic accounting. Students will learn how to apply relevant professional standards to specific cases. The course will focus on how internal auditors can help organizations improve efficiency and effectiveness of their operations and compliance-related activities, as well as how forensic accountants can help organizations prevent and timely detect fraud. No prior accounting knowledge is needed and enrollment is encouraged across a diverse set of majors and professional interests.","3","",""
"ACCT","414","Intermediate Financial Accounting II","Theory and practice that underlies the preparation, analysis, and use of financial statements with special emphasis on accounting for liabilities and stockholders  equity.","3","ACCT 311",""
"ACCT","431","Federal Income Taxation","Fundamentals and concepts of federal income taxation. Emphasis on tax strategy, business taxation, and individual taxation. Topics include tax strategy modeling, gross income, deductions, credits, tax determination, property transactions, business entities, and basics of international taxation.","3","ACCT 311",""
"ACCT","481","Accounting Analytics","Introduction to using foundational data analysis methodologies and technologies relevant to measure and assess financial performance.","3","INMT 341 and ACCT 311",""
"ACCT","492","Accounting Internship","Grading Restriction: Satisfactory/No Credit grading only.","1-6","",""
"ACCT","499","Special Topics in Accounting3-","Introduction to foundational knowledge in accounting.","12","",""
"ADPR","216","Special Topics in Advertising and Public Relations","Detailed study of a specialized area of advertising and public relations.","1-3","",""
"ADPR","265","Communicating in a Diverse and Global Society","This course empowers students to become effective communicators in an increasingly diverse and global society. The course will examine aspects of inclusion, diversity, and equity as well as the roles DEI plays in societal interactions and messaging across platforms and organizations.","3","",""
"ADPR","316","Special Topics in Advertising and Public Relations","Detailed study of a specialized area of advertising and public relationsRepeatability: May be repeated if topic differs. Maximum 6 hours.","1-3","",""
"ADPR","365","Social Media Strategy","Social media strategy provides students with practical knowledge and analytical skills necessary to evaluate, understand, and implement social media campaigns. ADPR 365 will be comprised of lectures, case studies, assignments, and engaged analysis activities that will help serve as the foundation for building a strong professional social media skill set.","3","",""
"ADPR","375","Integrating Communication Channels","Provides students interested in advertising, marketing, and public relations with an introduction to the dynamic world of paid, earned, shared, and owned media. Students will learn the concepts, theories and strategies used to connect with audiences/publics in the traditional and emerging media channels that they use.","3","ADVT 250 or PBRL 270",""
"ADPR","415","Social Media Analytics","This course enables students to grasp the requisite analytics tools to leverage social media data. The course will introduce tools such as engagement analytics, sentiment analysis, topic modeling, social network analysis, identification of influencers and evaluation of social media strategy.","3","",""
"ADPR","416","Special Topics in Advertising and Public Relations","Detailed study of a specialized area of advertising and public relations.","1-3","",""
"ADPR","492","Advertising and Public Relations Internships","Approved internships and other supervised practice in advertising and public relations.","1-3","ADVT 340R or PBRL 340R",""
"ADVT","250","Advertising Principles","Survey of the role of advertising in American business and society. Relationship between advertising and marketing; functional components of the advertising process   research, media, creative, and management.","3","",""
"ADVT","310","Advertising Design","This introductory course examines the varied design options, layout stages, color, type and production techniques using Photoshop, Illustrator, and InDesign needed to develop multimedia advertising.","3","ADVT 250",""
"ADVT","340R","Advertising Research Methods","Secondary data and primary research techniques for advertising decision making.","3","ADVT 250 or PBRL 270","MATH 115 or STAT 201 or STAT 207"
"ADVT","350","Creative Strategy","Basic concepts of creative strategy development with intensive practice in developing creative briefs, writing and designing advertisements, and strategically and creatively judging visual and verbal output.","3","ADVT 250 and ADVT 310",""
"ADVT","360","Advertising Media Strategy","Assessment of markets, vehicle audiences, and mathematical techniques for advertising planning. Instruction in media planning, buying, and evaluation.","3","ADVT 250 and ADVT 340R","ADVT 380"
"ADVT","380","Advertising Professional Seminar","Exploration of career choices in mass communications. R sum  and letter writing, interviewing, and portfolio preparation.","1","ADVT 250",""
"ADVT","450","Advertising Management","Case-study approach to advertising decisions. Data analysis and interpretation, generating alternative strategies, oral and written presentation of recommendations.","3","ADVT 350 and ADVT 360",""
"ADVT","460","Account Planning","Account Planning focuses on the development of advertising strategy based on insight-oriented research. Emphasis on the use of qualitative research in advertising strategy development; secondary and quantitative data are also used.","3","ADVT 340R",""
"ADVT","461","Social Media","Practical and analytical skills necessary to create, evaluate, and execute social media campaigns. Course emphasis is on on-line reputation management; ethical, legal, and privacy issues; and evaluating digital technologies.","3","ADVT 340R",""
"ADVT","470","Advertising Campaigns","Group-based development, execution, and evaluation of an advertising campaign for a regional or national client.","3","ADVT 450 and PBRL 270",""
"ADVT","480","Advertising Issues","Examination of the role of advertising in society and controversies surrounding economic, social, cultural, and ethical aspects of advertising. Emphasis on written and oral exposition of different viewpoints.","3","ADVT 360",""
"ADVT","490","Special Topics","Detailed study of a specialized area of advertising. Topics vary by semester and include advanced media strategy, advanced creative strategy, direct marketing, and multicultural advertising.","3","ADVT 360",""
"ADVT","493","Independent Study","Individual study in a specialized area under the supervision of a faculty member.","1-3","",""
"AE","201","Aerospace Seminar","An overview of aerospace engineering with lectures, laboratory demonstrations, and field trips. Aerospace history, aircraft and space flight fundamentals, propulsion techniques, wind tunnel testing, biomedical issues in aviation and space flight.","1","",""
"AE","210","Professional Topics","Topics relating to professional responsibility and communications, and organization. Requires a formal oral presentation by each student on an engineering topic chosen by the student and approved by the instructor.","2","",""
"AE","341","Fluid Mechanics I","Introduction to fluid flow concepts; hydrostatics; development of mass, momentum, and energy conservation laws in integral form; dimensional analysis and similitude; viscous laminar and turbulent flows in pipes; introduction to boundary layers.","3","ME 231 and MATH 241 or MATH 247",""
"AE","345","Aerospace Engineering Instrumentation and Measurement","(See ME 345 *.)","3","",""
"AE","347","Honors: Fluid Mechanics","Honors version of AE 341 . Students will attend AE 341 classes with supplementary assignments.","3","ME 231 and MATH 241",""
"AE","351","Compressible Flow","One-dimensional internal flow with shocks, friction, and nonadiabatic conditions. Two-dimensional external flows.","3","AE 341 and ME 331",""
"AE","363","Structural Analysis of Aerospace Vehicles","Fundamentals of structural analysis applied to configurations common to aerospace vehicles.","3","ME 321",""
"AE","370","Airplane Performance","Airplane aerodynamics, characteristics of propulsion systems, prediction of airplane performance, static and dynamic stability, and control of aircraft.","4","","AE 341"
"AE","377","Honors: Airplane Performance","Honors version of AE 370 . Students will attend AE 370  classes with supplementary assignments.","4","","AE 341"
"AE","422","Aerodynamics","Theory and design of aerodynamic bodies for desired characteristics. Potential flow theory, viscous effects, and compressibility effects. Subsonic, transonic, and supersonic airfoils.","3","AE 351 and AE 370",""
"AE","424","Astronautics","Solar system; orbital mechanics; propulsion; atmospheric entry, including thermal protection materials, human factors in space flight, the space environment, and current topics.","3","AE 351","ME 344"
"AE","425","Propulsion","Principles of propulsion devices, principally jet and rocket engines. Combustion and equilibrium, inlets, nozzles, compressors, pumps and turbines. Overall performance evaluations.","3","AE 351",""
"AE","449","Aerospace Engineering Laboratory","Designing, conducting, and reporting results of experimental exercises. Test standards and specifications. Analysis of data and formation of conclusions.","3","AE 345 or AE 351 or ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"AE","450","Introduction to Aerospace Design","Design process, synthesis, design studies. Individual design reports required.","3","AE 351 and AE 370 or AE 377","ME 344"
"AE","460","Aerospace System Design","Synthesis and design of a complete aerospace system. Participation in team design effort including formal presentations and design report.","3","AE 422 and AE 450",""
"AE","494","Selected Topics in Aerospace Engineering","Problems and topics related to developments and practice in aerospace engineering.","1-4","",""
"AE","495","Selected Topics in Aerospace Engineering","Problems and topics related to developments and practice in aerospace engineering.","1-4","",""
